pseudo;has_like;followers;rated_movies;observations;R2;mean_error;hit_rate;hit_rate±05;hit_rate±1;hr_5;hr_10;hr_15;hr_20;hr_25;hr_30;hr_35;hr_40;hr_45;hr_50;std_diff;like_F1_99;like_F1_98;like_F1_97;like_F1_96;like_F1_95;like_F1_94;like_F1_93;like_F1_92;like_F1_91;like_F1_90;absolute_w;relative_w;like_w;corr_user_like;corr_year_user;corr_views;corr_likes;corr_fans;corr_avg_rating;corr_total_ratings;corr_duration_mins;corr_rating_std_dev;corr_rating_ratio;corr_like_view_ratio;corr_is_niche;corr_controversy;corr_rating_skew;corr_rating_0.5_count;corr_rating_1.0_count;corr_rating_1.5_count;corr_rating_2.0_count;corr_rating_2.5_count;corr_rating_3.0_count;corr_rating_3.5_count;corr_rating_4.0_count;corr_rating_4.5_count;corr_rating_5.0_count
fuchsiadyke;0;39780;6388;6014;0.1818;0.7383;20.62;40.74;72.2;0.0%;0.0%;0.3%;4.4%;24.5%;48.5%;33.8%;6.2%;3.9%;0.0%;0.5816;0;0;0;0;0;0;0;0;0;0;0.0818;0.733;0.0;;-0.2;-0.182;-0.107;-0.075;0.356;-0.181;-0.156;-0.208;-0.022;0.414;0.059;-0.281;-0.322;-0.173;-0.22;-0.248;-0.24;-0.252;-0.21;-0.187;-0.143;-0.114;-0.105
murielcampos;1;12566;709;709;0.0346;0.3207;64.32;88.58;96.19;0.0%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;51.6%;67.0%;0.5466;0.16953642384105963;0.1789473684210526;0.19084967320261434;0.21161290322580642;0.2343949044585987;0.2885326757090012;0.31961259079903154;0.3456495828367103;0.3953757225433526;0.41733181299885974;0.0666;0.4228;-0.1383;0.967;-0.185;-0.054;-0.011;0.059;0.282;-0.062;0.015;-0.198;-0.145;0.203;;-0.179;-0.187;-0.322;-0.308;-0.354;-0.278;-0.264;-0.125;-0.07;0.005;0.04;0.045
leeyim;1;9573;1659;1658;0.5847;0.4595;35.71;60.49;92.4;0.0%;5.9%;4.0%;28.0%;33.3%;27.5%;39.1%;59.6%;35.6%;1.6%;0.2297;0.002652519893899204;0.023622047244094488;0.04669260700389105;0.08396946564885498;0.14303329223181258;0.2007168458781362;0.24781849912739964;0.29235127478753536;0.3225806451612903;0.35441657579062164;0.3576;0.5121;0.4743;0.599;-0.147;0.15;0.309;0.351;0.741;0.175;0.1;-0.604;0.254;0.65;-0.019;-0.346;-0.688;-0.328;-0.287;-0.319;-0.203;-0.183;0.004;0.151;0.282;0.359;0.286
nycsubwayrat;1;15720;1110;1106;0.4019;0.6464;25.68;47.11;78.93;4.8%;3.2%;15.4%;9.3%;18.8%;17.2%;34.1%;53.6%;15.7%;3.8%;0.3925;0;0;0;0;0.0036697247706422016;0.010968921389396709;0.010948905109489052;0.018148820326678767;0.018148820326678767;0.02531645569620253;0.771;0.4235;0.0051;0.549;-0.126;0.273;0.362;0.381;0.642;0.278;0.087;-0.437;0.114;0.529;-0.075;-0.051;-0.587;-0.074;-0.034;-0.069;0.014;0.03;0.133;0.205;0.238;0.252;0.206
kfavs;0;12102;2273;2270;0.5025;0.5119;32.11;59.3;87.53;0.0%;6.8%;16.0%;21.1%;22.6%;27.8%;49.7%;43.4%;25.4%;7.5%;0.282;0;0;0;0;0;0;0;0;0;0;0.6841;0.5231;0.0;;-0.22;0.181;0.274;0.294;0.702;0.182;0.201;-0.512;0.022;0.508;0.015;-0.202;-0.631;-0.22;-0.196;-0.247;-0.114;-0.099;0.079;0.197;0.298;0.336;0.28
willhunting;1;13591;1754;1740;0.5961;0.5921;28.97;52.41;84.08;6.4%;8.9%;17.4%;34.7%;32.8%;34.7%;37.7%;36.3%;29.5%;10.2%;0.2958;0;0;0;0;0;0;0.004672897196261682;0.004672897196261682;0.004672897196261682;0.004672897196261682;0.4997;0.5785;0.3861;0.553;-0.162;0.222;0.345;0.366;0.768;0.217;0.027;-0.587;0.006;0.686;-0.069;-0.199;-0.686;-0.276;-0.234;-0.248;-0.088;-0.029;0.168;0.287;0.355;0.374;0.328
barbiesswanlake;1;17628;3246;3229;0.4028;0.6905;22.3;44.1;76.77;0.0%;4.6%;7.6%;13.6%;16.4%;22.3%;35.5%;40.8%;21.1%;4.9%;0.3907;0;0;0;0;0.0008274720728175425;0.006597938144329897;0.011513157894736843;0.012330456226880393;0.015586546349466776;0.018018018018018018;1.0946;0.2983;-0.0265;0.714;-0.098;0.181;0.28;0.323;0.65;0.191;0.076;-0.463;0.193;0.562;-0.063;-0.114;-0.606;-0.142;-0.11;-0.127;-0.024;0.01;0.131;0.208;0.249;0.257;0.238
sethsreviews;1;71155;2733;2726;0.6413;0.4695;34.96;62.55;90.46;10.3%;16.5%;21.0%;33.7%;35.0%;40.6%;45.4%;44.6%;19.7%;1.2%;0.2163;0;0;0.07792207792207793;0.12903225806451613;0.20168067226890757;0.23529411764705882;0.2054054054054054;0.19555555555555554;0.19591836734693877;0.1838235294117647;0.3081;0.7172;-0.0312;0.288;-0.278;0.266;0.426;0.495;0.787;0.286;0.203;-0.612;0.169;0.708;-0.072;-0.273;-0.74;-0.261;-0.232;-0.261;-0.128;-0.072;0.123;0.269;0.34;0.375;0.302
henryspencerirl;1;18765;1761;1750;0.2238;0.6764;23.89;44.34;79.37;6.5%;0.0%;0.0%;2.0%;7.8%;9.4%;25.1%;52.1%;33.3%;5.8%;0.4961;0;0;0;0;0;0;0;0;0;0;-0.4754;1.272;0.1904;0.638;-0.021;0.222;0.295;0.336;0.528;0.236;0.192;-0.355;0.261;0.457;-0.2;-0.012;-0.446;-0.203;-0.148;-0.157;-0.074;-0.047;0.069;0.141;0.198;0.217;0.2
ttotoro;1;16789;717;715;0.6298;0.4528;34.69;63.64;92.31;33.3%;0.0%;23.3%;36.2%;43.4%;36.9%;32.0%;54.4%;27.3%;0.0%;0.1882;0;0;0;0;0;0;0;0;0;0;0.3913;0.6115;0.1953;0.358;-0.371;0.38;0.526;0.637;0.785;0.377;0.249;-0.592;-0.136;0.722;;-0.272;-0.731;-0.252;-0.229;-0.303;-0.159;-0.141;0.123;0.287;0.429;0.485;0.432
davidfinchher;1;12432;2642;2632;0.395;0.6305;25.23;48.14;80.21;0.0%;0.0%;6.7%;23.1%;28.0%;33.9%;36.7%;33.4%;8.1%;1.4%;0.382;0;0;0;0.003048780487804878;0.0060882800608828;0.009090909090909092;0.009090909090909092;0.012102874432677761;0.012084592145015106;0.012048192771084338;0.6863;0.2944;0.2425;0.606;-0.005;0.165;0.264;0.251;0.629;0.177;0.094;-0.51;0.197;0.556;-0.047;-0.166;-0.578;-0.181;-0.146;-0.163;-0.053;-0.014;0.134;0.233;0.288;0.298;0.254
mrmoviesrd;1;18994;10168;10086;0.3409;0.4174;37.79;67.35;93.92;0.0%;0.0%;0.0%;0.6%;15.6%;43.0%;59.6%;32.7%;5.1%;0.0%;0.2793;0.0021937040693210483;0.0028508771929824563;0.003288391976323578;0.003288391976323578;0.003288391976323578;0.003288391976323578;0.003288391976323578;0.003288391976323578;0.003288391976323578;0.003507233669443227;0.056;0.5671;0.5518;0.588;-0.002;0.335;0.404;0.419;0.576;0.337;0.108;-0.321;0.055;0.465;-0.18;0.101;-0.531;-0.067;-0.036;-0.046;0.036;0.071;0.174;0.245;0.274;0.276;0.235
