title,year,url
Ben-Hur,1959,https://letterboxd.com/film/ben-hur-1959/
Bullitt,1968,https://letterboxd.com/film/bullitt/
Dirty Dancing,1987,https://letterboxd.com/film/dirty-dancing/
One Cut of the Dead,2017,https://letterboxd.com/film/one-cut-of-the-dead/
Broken Blossoms,1919,https://letterboxd.com/film/broken-blossoms-1919/
The Birth of a Nation,1915,https://letterboxd.com/film/the-birth-of-a-nation/
Intolerance: Love's Struggle Throughout the Ages,1916,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/
Pecker,1998,https://letterboxd.com/film/pecker/
Shirkers,2018,https://letterboxd.com/film/shirkers/
Filmworker,2017,https://letterboxd.com/film/filmworker/
Brawl in Cell Block 99,2017,https://letterboxd.com/film/brawl-in-cell-block-99/
A Bigger Splash,2015,https://letterboxd.com/film/a-bigger-splash-2015/
Big Trouble in Little China,1986,https://letterboxd.com/film/big-trouble-in-little-china/
Heavy Trip,2018,https://letterboxd.com/film/heavy-trip/
Return of the Jedi,1983,https://letterboxd.com/film/return-of-the-jedi/
Smallfoot,2018,https://letterboxd.com/film/smallfoot/
Pick of the Litter,2018,https://letterboxd.com/film/pick-of-the-litter/
Lost River,2014,https://letterboxd.com/film/lost-river/
Do You Like to Read?,2012,https://letterboxd.com/film/do-you-like-to-read/
The Old Man & the Gun,2018,https://letterboxd.com/film/the-old-man-the-gun/
The Death & Life of John F. Donovan,2018,https://letterboxd.com/film/the-death-life-of-john-f-donovan/
Dogville,2003,https://letterboxd.com/film/dogville/
Tom at the Farm,2013,https://letterboxd.com/film/tom-at-the-farm/
The New World,2005,https://letterboxd.com/film/the-new-world/
Knight of Cups,2015,https://letterboxd.com/film/knight-of-cups/
Robot Monster,1953,https://letterboxd.com/film/robot-monster/
Lenny,1974,https://letterboxd.com/film/lenny/
Once Upon a Time in America,1984,https://letterboxd.com/film/once-upon-a-time-in-america/
L'Avventura,1960,https://letterboxd.com/film/lavventura/
The Thin Red Line,1998,https://letterboxd.com/film/the-thin-red-line/
Terminator 2: Judgment Day,1991,https://letterboxd.com/film/terminator-2-judgment-day/
Andrei Rublev,1966,https://letterboxd.com/film/andrei-rublev/
Man with a Movie Camera,1929,https://letterboxd.com/film/man-with-a-movie-camera/
Once Upon a Time in the West,1968,https://letterboxd.com/film/once-upon-a-time-in-the-west/
Last Year at Marienbad,1961,https://letterboxd.com/film/last-year-at-marienbad/
Brazil,1985,https://letterboxd.com/film/brazil/
Sunrise: A Song of Two Humans,1927,https://letterboxd.com/film/sunrise-a-song-of-two-humans/
Breakfast at Tiffany's,1961,https://letterboxd.com/film/breakfast-at-tiffanys/
A Futile and Stupid Gesture,2018,https://letterboxd.com/film/a-futile-and-stupid-gesture/
The Devil's Candy,2015,https://letterboxd.com/film/the-devils-candy/
Wanda,1970,https://letterboxd.com/film/wanda/
El Angel,2018,https://letterboxd.com/film/el-angel-2018/
La Dolce Vita,1960,https://letterboxd.com/film/la-dolce-vita/
Pariah,2011,https://letterboxd.com/film/pariah/
I'm Still Here,2010,https://letterboxd.com/film/im-still-here/
Foxtrot,2017,https://letterboxd.com/film/foxtrot-2017/
Fanny and Alexander,1982,https://letterboxd.com/film/fanny-and-alexander/
Wild Strawberries,1957,https://letterboxd.com/film/wild-strawberries/
The Rocketeer,1991,https://letterboxd.com/film/the-rocketeer/
The Kid,1921,https://letterboxd.com/film/the-kid/
Outland,1981,https://letterboxd.com/film/outland/
The Phantom Carriage,1921,https://letterboxd.com/film/the-phantom-carriage/
The Innocents,1961,https://letterboxd.com/film/the-innocents/
Eating Raoul,1982,https://letterboxd.com/film/eating-raoul/
Solaris,1972,https://letterboxd.com/film/solaris/
Duck Butter,2018,https://letterboxd.com/film/duck-butter/
Hoop Dreams,1994,https://letterboxd.com/film/hoop-dreams/
Slacker,1990,https://letterboxd.com/film/slacker/
Naked Lunch,1991,https://letterboxd.com/film/naked-lunch/
The Pornographers,1966,https://letterboxd.com/film/the-pornographers/
Certified Copy,2010,https://letterboxd.com/film/certified-copy/
Like Someone in Love,2012,https://letterboxd.com/film/like-someone-in-love/
Splendor in the Grass,1961,https://letterboxd.com/film/splendor-in-the-grass/
Our Hospitality,1923,https://letterboxd.com/film/our-hospitality/
Wrong,2012,https://letterboxd.com/film/wrong/
Tag,2015,https://letterboxd.com/film/tag/
A Brighter Summer Day,1991,https://letterboxd.com/film/a-brighter-summer-day/
Batman,1989,https://letterboxd.com/film/batman-1989/
Scarface,1932,https://letterboxd.com/film/scarface/
Pandora's Box,1929,https://letterboxd.com/film/pandoras-box/
Metropolis,1927,https://letterboxd.com/film/metropolis/
Junior,2011,https://letterboxd.com/film/junior-2011-1/
Deathgasm,2015,https://letterboxd.com/film/deathgasm/
Final Flesh,2009,https://letterboxd.com/film/final-flesh/
The Imitation Game,2014,https://letterboxd.com/film/the-imitation-game/
Billy Jack,1971,https://letterboxd.com/film/billy-jack/
Love and Other Cults,2017,https://letterboxd.com/film/love-and-other-cults/
Kes,1969,https://letterboxd.com/film/kes/
Dawn of the Dead,1978,https://letterboxd.com/film/dawn-of-the-dead/
No Half Measures: Creating the Final Season of Breaking Bad,2013,https://letterboxd.com/film/no-half-measures-creating-the-final-season-of-breaking-bad/
Ratcatcher,1999,https://letterboxd.com/film/ratcatcher/
Come and See,1985,https://letterboxd.com/film/come-and-see/
Shane,1953,https://letterboxd.com/film/shane/
Solo: A Star Wars Story,2018,https://letterboxd.com/film/solo-a-star-wars-story/
Natural Born Killers,1994,https://letterboxd.com/film/natural-born-killers/
The Untouchables,1987,https://letterboxd.com/film/the-untouchables/
Horns,2013,https://letterboxd.com/film/horns/
The Bunker of the Last Gunshots,1982,https://letterboxd.com/film/the-bunker-of-the-last-gunshots/
Love & Saucers,2017,https://letterboxd.com/film/love-saucers/
The Black Power Mixtape 1967-1975,2011,https://letterboxd.com/film/the-black-power-mixtape-1967-1975/
Lowlife,2017,https://letterboxd.com/film/lowlife-2017/
Oasis,2002,https://letterboxd.com/film/oasis/
Wild Wild Country,2018,https://letterboxd.com/film/wild-wild-country/
Journeyman,2017,https://letterboxd.com/film/journeyman-2017/
Waking Life,2001,https://letterboxd.com/film/waking-life/
Finding Vivian Maier,2013,https://letterboxd.com/film/finding-vivian-maier/
Angela,1995,https://letterboxd.com/film/angela/
Human Flow,2017,https://letterboxd.com/film/human-flow/
Being Different,1981,https://letterboxd.com/film/being-different/
Pacific Rim: Uprising,2018,https://letterboxd.com/film/pacific-rim-uprising/
The Heiresses,2018,https://letterboxd.com/film/the-heiresses/
Last Flag Flying,2017,https://letterboxd.com/film/last-flag-flying/
Stardust,2007,https://letterboxd.com/film/stardust-2007/
Robin Hood,1973,https://letterboxd.com/film/robin-hood/
Werewolf,2016,https://letterboxd.com/film/werewolf-2016/
November,2017,https://letterboxd.com/film/november-2017/
Wonder Woman,2017,https://letterboxd.com/film/wonder-woman-2017/
Logan,2017,https://letterboxd.com/film/logan-2017/
Battle of the Sexes,2017,https://letterboxd.com/film/battle-of-the-sexes-2017/
