iter	Passed	Remaining
408	5292	20589
409	5305	20575
410	5318	20563
411	5332	20552
412	5345	20539
413	5358	20527
414	5371	20514
415	5384	20503
416	5397	20491
417	5411	20480
418	5425	20470
419	5438	20457
420	5450	20443
421	5465	20436
422	5479	20426
423	5493	20417
424	5506	20407
425	5520	20395
426	5533	20383
427	5546	20372
428	5559	20359
429	5562	20308
430	5575	20296
431	5588	20285
432	5601	20272
433	5613	20256
434	5627	20246
435	5640	20234
436	5653	20219
437	5666	20206
438	5678	20192
439	5692	20181
440	5697	20141
441	5710	20129
442	5724	20118
443	5737	20106
444	5751	20098
445	5764	20084
446	5776	20068
447	5789	20055
448	5802	20043
449	5815	20032
450	5829	20020
451	5841	20007
452	5854	19993
453	5868	19983
454	5881	19971
455	5894	19957
456	5907	19946
457	5921	19935
458	5935	19926
459	5948	19914
460	5960	19897
461	5973	19884
462	5986	19872
463	5999	19860
464	6011	19844
465	6024	19831
466	6038	19821
467	6051	19809
468	6064	19795
469	6078	19785
470	6090	19772
471	6103	19758
472	6116	19746
473	6129	19733
474	6143	19724
475	6156	19711
476	6169	19699
477	6182	19685
478	6196	19674
479	6208	19659
480	6220	19643
481	6233	19631
482	6247	19621
483	6260	19609
484	6263	19566
485	6276	19552
486	6289	19541
487	6303	19530
488	6316	19517
489	6329	19506
490	6342	19491
491	6355	19480
492	6368	19468
493	6382	19456
494	6395	19444
495	6408	19432
496	6421	19419
497	6434	19407
498	6449	19399
499	6463	19389
500	6478	19385
501	6491	19372
502	6505	19360
503	6513	19333
504	6526	19321
505	6539	19309
506	6552	19294
507	6565	19283
508	6579	19271
509	6592	19261
510	6605	19248
511	6619	19236
512	6631	19221
513	6644	19209
514	6657	19196
515	6670	19184
516	6675	19149
517	6688	19136
518	6702	19126
519	6714	19109
520	6726	19095
521	6739	19082
522	6752	19069
523	6766	19058
524	6778	19045
525	6791	19031
526	6804	19019
527	6816	19004
528	6830	18992
529	6842	18979
530	6856	18967
531	6870	18957
532	6883	18945
533	6896	18932
534	6909	18919
535	6922	18906
536	6936	18896
537	6948	18882
538	6952	18844
539	6965	18832
540	6978	18820
541	6994	18814
542	7006	18801
543	7019	18787
544	7032	18774
545	7045	18763
546	7058	18749
547	7070	18734
548	7084	18723
549	7098	18713
550	7111	18702
551	7125	18690
552	7137	18676
553	7149	18660
554	7161	18645
555	7174	18633
556	7189	18624
557	7202	18612
558	7215	18599
559	7228	18588
560	7242	18576
561	7255	18564
562	7268	18551
563	7281	18540
564	7295	18528
565	7309	18518
566	7322	18506
567	7336	18496
568	7350	18485
569	7363	18472
570	7376	18460
571	7388	18446
572	7400	18431
573	7413	18418
574	7427	18407
575	7441	18396
576	7454	18385
577	7468	18372
578	7481	18360
579	7494	18348
580	7508	18339
581	7522	18327
582	7535	18316
583	7548	18303
584	7562	18291
585	7575	18279
586	7588	18266
587	7601	18253
588	7615	18243
589	7629	18232
590	7642	18219
591	7654	18204
592	7667	18192
593	7680	18180
594	7693	18167
595	7707	18156
596	7721	18145
597	7734	18133
598	7747	18120
599	7759	18106
600	7772	18093
601	7786	18082
602	7800	18071
603	7812	18057
604	7825	18044
605	7840	18035
606	7852	18020
607	7854	17983
608	7867	17969
609	7870	17934
610	7883	17921
611	7896	17909
612	7909	17895
613	7922	17884
614	7936	17872
615	7949	17861
616	7962	17847
617	7975	17835
618	7988	17823
619	8002	17811
620	8015	17799
621	8028	17786
622	8041	17773
623	8055	17764
624	8069	17752
625	8082	17739
626	8096	17729
627	8109	17717
628	8122	17704
629	8135	17691
630	8148	17678
631	8162	17667
632	8175	17655
633	8188	17643
634	8193	17613
635	8198	17583
636	8211	17569
637	8224	17556
638	8237	17543
639	8250	17533
640	8265	17524
641	8279	17512
642	8292	17500
643	8306	17489
644	8319	17476
645	8332	17465
646	8336	17433
647	8350	17422
648	8363	17409
649	8375	17394
650	8387	17380
651	8400	17367
652	8413	17356
653	8428	17346
654	8441	17334
655	8456	17325
656	8470	17315
657	8484	17303
658	8497	17291
659	8509	17277
660	8521	17263
661	8534	17249
662	8547	17237
663	8560	17225
664	8574	17213
665	8587	17200
666	8600	17188
667	8613	17175
668	8625	17160
669	8638	17147
670	8643	17118
671	8655	17105
672	8658	17072
673	8671	17059
674	8684	17047
675	8697	17034
676	8710	17021
677	8722	17007
678	8735	16994
679	8747	16981
680	8760	16968
681	8773	16955
682	8788	16945
683	8801	16933
684	8815	16922
685	8827	16908
686	8840	16895
687	8843	16864
688	8856	16851
689	8869	16839
690	8882	16827
691	8896	16815
692	8910	16805
693	8923	16793
694	8937	16781
695	8949	16767
696	8963	16755
697	8975	16742
698	8989	16730
699	9002	16718
700	9017	16709
701	9030	16697
702	9044	16686
703	9057	16673
704	9070	16660
705	9082	16647
706	9095	16634
707	9109	16623
708	9122	16610
709	9135	16598
710	9148	16586
711	9161	16573
712	9174	16560
713	9186	16546
714	9201	16536
715	9214	16523
716	9227	16510
717	9231	16482
718	9244	16469
719	9256	16455
720	9269	16444
721	9282	16431
722	9295	16417
723	9303	16396
724	9316	16383
725	9329	16371
726	9341	16357
727	9354	16345
728	9369	16335
729	9381	16322
730	9394	16308
731	9407	16296
732	9421	16285
733	9433	16271
734	9447	16259
735	9459	16245
736	9472	16233
737	9486	16221
738	9500	16211
739	9514	16199
740	9527	16188
741	9540	16175
742	9553	16162
743	9565	16148
744	9578	16136
745	9582	16107
746	9595	16095
747	9608	16082
748	9622	16071
749	9636	16060
750	9649	16047
751	9663	16037
752	9676	16025
753	9689	16012
754	9702	15999
755	9715	15986
756	9728	15974
757	9741	15961
758	9755	15950
759	9768	15938
760	9781	15924
761	9793	15911
762	9807	15899
763	9820	15887
764	9833	15874
765	9846	15862
766	9859	15849
767	9871	15835
768	9884	15822
769	9897	15810
770	9913	15801
771	9925	15788
772	9938	15776
773	9953	15765
774	9965	15752
775	9978	15739
776	9991	15726
777	10003	15712
778	10016	15699
779	10029	15687
780	10042	15674
781	10056	15662
782	10070	15652
783	10083	15639
784	10096	15627
785	10109	15614
786	10121	15600
787	10134	15587
788	10148	15575
789	10161	15564
790	10175	15552
791	10187	15539
792	10199	15525
793	10212	15511
794	10224	15498
795	10237	15484
796	10250	15471
797	10262	15458
798	10276	15446
799	10288	15433
800	10302	15422
801	10316	15409
802	10329	15397
803	10341	15383
804	10355	15371
805	10368	15359
806	10381	15346
807	10394	15334
808	10407	15322
809	10421	15309
810	10433	15296
811	10446	15284
812	10460	15273
813	10473	15260
814	10485	15245
815	10489	15219
816	10501	15206
817	10514	15193
818	10527	15181
819	10540	15168
820	10553	15155
821	10567	15144
822	10581	15133
823	10595	15121
824	10608	15109
825	10621	15096
826	10634	15084
827	10648	15072
828	10660	15059
829	10674	15047
830	10688	15035
831	10700	15022
832	10713	15009
833	10726	14995
834	10739	14983
835	10752	14970
836	10765	14958
837	10779	14946
838	10792	14934
839	10805	14922
840	10818	14909
841	10831	14897
842	10844	14884
843	10858	14872
844	10872	14861
845	10887	14851
846	10901	14839
847	10914	14827
848	10927	14814
849	10940	14801
850	10953	14789
851	10966	14776
852	10971	14753
853	10984	14740
854	10998	14729
855	11011	14716
856	11024	14703
857	11036	14689
858	11048	14675
859	11060	14662
860	11073	14649
861	11086	14636
862	11099	14623
863	11113	14611
864	11125	14598
865	11137	14584
866	11150	14571
867	11163	14558
868	11177	14546
869	11190	14534
870	11203	14522
871	11216	14509
872	11229	14497
873	11243	14484
874	11256	14472
875	11269	14459
876	11282	14447
877	11296	14435
878	11308	14422
879	11322	14410
880	11334	14396
881	11347	14383
882	11359	14369
883	11372	14357
884	11386	14345
885	11398	14331
886	11412	14320
887	11426	14309
888	11439	14296
889	11452	14283
890	11466	14271
891	11480	14260
892	11493	14247
893	11505	14234
894	11519	14222
895	11533	14210
896	11545	14197
897	11558	14184
898	11571	14171
899	11584	14159
900	11597	14145
901	11611	14134
902	11623	14121
903	11636	14108
904	11649	14095
905	11662	14082
906	11675	14069
907	11690	14058
908	11703	14046
909	11717	14035
910	11731	14023
911	11745	14012
912	11758	13999
913	11771	13986
914	11784	13974
915	11797	13961
916	11809	13947
917	11823	13935
918	11837	13924
919	11850	13911
920	11864	13899
921	11877	13886
922	11889	13873
923	11903	13861
924	11915	13847
925	11928	13835
926	11942	13823
927	11955	13810
928	11968	13798
929	11972	13774
930	11985	13762
931	11999	13750
932	12011	13737
933	12026	13725
934	12039	13713
935	12053	13702
936	12066	13689
937	12079	13676
938	12094	13665
939	12108	13654
940	12121	13641
941	12135	13629
942	12147	13616
943	12161	13604
944	12174	13592
945	12191	13583
946	12204	13571
947	12218	13558
948	12231	13545
949	12244	13533
950	12257	13520
951	12271	13508
952	12284	13496
953	12297	13483
954	12310	13470
955	12323	13458
956	12336	13444
957	12349	13431
958	12363	13420
959	12376	13408
960	12389	13395
961	12402	13382
962	12414	13368
963	12426	13354
964	12439	13342
965	12452	13329
966	12466	13317
967	12479	13305
968	12493	13292
969	12506	13279
970	12519	13267
971	12531	13253
972	12544	13240
973	12557	13228
974	12570	13215
975	12584	13203
976	12597	13190
977	12609	13177
978	12623	13164
979	12636	13152
980	12649	13139
981	12662	13126
982	12675	13113
983	12688	13100
984	12700	13087
985	12714	13075
986	12726	13062
987	12739	13048
988	12751	13035
989	12764	13022
990	12777	13010
991	12790	12997
992	12794	12974
993	12806	12961
994	12819	12948
995	12833	12936
996	12845	12922
997	12857	12909
998	12869	12895
999	12883	12883
1000	12896	12870
1001	12909	12858
1002	12922	12845
1003	12935	12832
1004	12949	12820
1005	12962	12807
1006	12974	12794
1007	12988	12782
1008	13000	12768
1009	13013	12756
1010	13026	12742
1011	13039	12730
