iter	Logloss
0	0.6895496424
1	0.6847878912
2	0.6808077945
3	0.6762156294
4	0.6716051675
5	0.667006661
6	0.6624193912
7	0.6582936847
8	0.6539583031
9	0.649352951
10	0.6451936348
11	0.6413707639
12	0.6374368042
13	0.6332891295
14	0.6294351892
15	0.6259073218
16	0.6220148621
17	0.6182563948
18	0.6145514291
19	0.6108389956
20	0.6074955556
21	0.6035666288
22	0.599229681
23	0.5954106388
24	0.591812704
25	0.5883724867
26	0.5859814598
27	0.5828958233
28	0.5797355633
29	0.5763060263
30	0.5724037741
31	0.5691023112
32	0.5655861786
33	0.5623488306
34	0.5587828834
35	0.5556065642
36	0.5524684102
37	0.5489652823
38	0.5457587826
39	0.5430696833
40	0.5409867664
41	0.5383808908
42	0.5358568345
43	0.5333861244
44	0.5309002166
45	0.5280352397
46	0.5260914679
47	0.5234252705
48	0.5207108328
49	0.518383143
50	0.5159546309
51	0.5134535937
52	0.5117523005
53	0.5088990532
54	0.5065166166
55	0.5039963782
56	0.5018947833
57	0.4992609077
58	0.4969682852
59	0.4947837868
60	0.4922836934
61	0.4903007612
62	0.4880206334
63	0.4858627058
64	0.4838958563
65	0.4816289176
66	0.4795944767
67	0.4772696461
68	0.4750641121
69	0.4729681867
70	0.4706857244
71	0.4684285893
72	0.4664596411
73	0.4644437494
74	0.4628266508
75	0.4605745525
76	0.4584531682
77	0.4566008777
78	0.4546266749
79	0.4526768463
80	0.4509825379
81	0.44914592
82	0.4476124991
83	0.4459325373
84	0.4441808273
85	0.4423135575
86	0.4410447587
87	0.4389375182
88	0.4374653504
89	0.4357840416
90	0.4340298076
91	0.4324629782
92	0.4309895407
93	0.4292849047
94	0.4283579804
95	0.426584737
96	0.4250888826
97	0.4237683684
98	0.4221922832
99	0.4205654478
100	0.4190586594
101	0.4178309266
102	0.4163722875
103	0.4150939094
104	0.4132524106
105	0.4120320856
106	0.4107795549
107	0.4093431651
108	0.4080703481
109	0.406722645
110	0.4054785128
111	0.4041099539
112	0.4027606637
113	0.4019313008
114	0.4006755471
115	0.399563904
116	0.3982791146
117	0.3972616542
118	0.3959450049
119	0.3947800259
120	0.3933941771
121	0.3923036865
122	0.3910533389
123	0.3898969993
124	0.3884948271
125	0.3874742717
126	0.3862620553
127	0.3852946895
128	0.3843978161
129	0.3831603938
130	0.3818093674
131	0.3806969333
132	0.3794832812
133	0.3785591618
134	0.3776187078
135	0.3764588135
136	0.3750752095
137	0.3738477559
138	0.3730739209
139	0.371839619
140	0.3710781039
141	0.3699439904
142	0.3687743457
143	0.3679241237
144	0.3670386797
145	0.3658186479
146	0.3649060138
147	0.3638835903
148	0.3630895365
149	0.36213957
150	0.3613084313
151	0.3602585572
152	0.3592783537
153	0.3586016536
154	0.3578241996
155	0.3569816522
156	0.3560708423
157	0.3551315635
158	0.3542097902
159	0.353469568
160	0.3526139606
161	0.3518207981
162	0.3510931424
163	0.3503472168
164	0.349582968
165	0.3489557311
166	0.3481032461
167	0.3474043429
168	0.3466453724
169	0.3458487187
170	0.345166843
171	0.3443641471
172	0.3437679241
173	0.3429061372
174	0.3421755882
175	0.3415810453
176	0.3408749145
177	0.3401641404
178	0.3396780073
179	0.3390693365
180	0.3382947705
181	0.3376588381
182	0.3371190646
183	0.3367177869
184	0.336145513
185	0.3357022692
186	0.3350111136
187	0.334574147
188	0.3339664772
189	0.3333827111
190	0.3328888034
191	0.3322983748
192	0.3315924007
193	0.3309170274
194	0.330302042
195	0.3296492887
196	0.328908478
197	0.3284460919
198	0.3279889141
199	0.327313229
200	0.3269596478
201	0.3262908853
202	0.3258169977
203	0.3252667975
204	0.3247422432
205	0.3241944133
206	0.3237331222
207	0.3231099863
208	0.3222474171
209	0.3217793915
210	0.3213061995
211	0.3209011383
212	0.3204269943
213	0.3199428514
214	0.3195103681
215	0.3190688195
216	0.3184853954
217	0.3179841081
218	0.3175107899
219	0.3171339702
220	0.3167261574
221	0.316336409
222	0.3158902006
223	0.3152783054
224	0.314973425
225	0.3144739503
226	0.3139560588
227	0.3134969452
228	0.3130109663
229	0.3125541274
230	0.3122092362
231	0.3117295729
232	0.3113477384
233	0.3110090437
234	0.3106933888
235	0.3101747067
236	0.3099733427
237	0.3096168473
238	0.3092779594
239	0.3087810352
240	0.3083294154
241	0.3079806444
242	0.3075369362
243	0.3071618889
244	0.3068131327
245	0.3063556301
246	0.3060972266
247	0.3057868746
248	0.3052527241
249	0.3049228239
250	0.3045905032
251	0.3043309994
252	0.3039293239
253	0.3034949529
254	0.3031295311
255	0.3028130517
256	0.3024391635
257	0.3022016956
258	0.3017717401
259	0.3014662939
260	0.3011385536
261	0.3007808212
262	0.3004415705
263	0.3000232466
264	0.2998764623
265	0.2995608548
266	0.2992510404
267	0.2990178102
268	0.2986347163
269	0.2983918244
270	0.2982289914
271	0.2978595421
272	0.2976471811
273	0.2973022326
274	0.2969707713
275	0.2967143225
276	0.2963916997
277	0.2960526491
278	0.2957735626
279	0.2954260845
280	0.2950586788
281	0.2947773218
282	0.2945442264
283	0.2943217795
284	0.2941255644
285	0.2935851867
286	0.2932561057
287	0.292854673
288	0.2926415363
289	0.2924012337
290	0.2921452151
291	0.291944435
292	0.2916710176
293	0.2914701353
294	0.2911534345
295	0.290964339
296	0.2905283833
297	0.290318391
298	0.2901388534
299	0.2898861099
300	0.2895611962
301	0.2893104645
302	0.2890066941
303	0.2887864294
304	0.2885717453
305	0.2883032063
306	0.2881204753
307	0.2879787103
308	0.2876211106
309	0.2874973695
310	0.2872614073
311	0.2870085001
312	0.286711385
313	0.2863181055
314	0.2861658803
315	0.2859399838
316	0.2857263985
317	0.2855243483
318	0.2852178197
319	0.2850623374
320	0.2848938242
321	0.2847217313
322	0.2842877343
323	0.2841193524
324	0.2839318701
325	0.2838093191
326	0.2835687909
327	0.2833195911
328	0.2829902306
329	0.2827803991
330	0.2825953713
331	0.2823663498
332	0.2822365183
333	0.2817907239
334	0.2815979067
335	0.2813359168
336	0.281201288
337	0.2810204161
338	0.2806285041
339	0.2804702696
340	0.2803574938
341	0.2801910991
342	0.2800422589
343	0.2797735655
344	0.2795264723
345	0.2794130198
346	0.2792504441
347	0.2790142517
348	0.2788948105
349	0.2788017449
350	0.2786367653
351	0.2785473233
352	0.2784228058
353	0.2782273601
354	0.2780212868
355	0.2779145687
356	0.2777723911
357	0.2776218297
358	0.2774204601
359	0.2772819776
360	0.2770466609
361	0.276842223
362	0.2767203046
363	0.2765570072
364	0.2762739252
365	0.2760780013
366	0.2759566477
367	0.2756657952
368	0.2756020629
369	0.2753653212
370	0.2751744019
371	0.2749223984
372	0.2748148732
373	0.2746735836
374	0.2745532444
375	0.2742835339
376	0.2741091372
377	0.2739205926
378	0.2737337392
379	0.2736316033
380	0.2735031119
381	0.2733439196
382	0.2731423024
383	0.2730149169
384	0.2727796557
385	0.2726275007
386	0.2723504618
387	0.2721758475
388	0.2720476597
389	0.271885872
390	0.2717707281
391	0.2715994092
392	0.2714631158
393	0.271337422
394	0.2712305109
395	0.2711108699
396	0.270969097
397	0.2708528136
398	0.2706433365
399	0.2705244079
400	0.2702846209
401	0.2701521619
402	0.2699620192
403	0.2698597228
404	0.2697447261
405	0.2695603
406	0.2694233083
407	0.2692363302
408	0.2691149178
409	0.2690286283
410	0.2689172148
411	0.2688211779
412	0.2686749596
413	0.2685581273
414	0.2684477028
415	0.2682529264
416	0.2681391845
417	0.2679404583
418	0.2677589776
419	0.2676267728
420	0.2675177334
421	0.2673294098
422	0.2672600938
423	0.2671276453
424	0.267040125
425	0.2669780991
426	0.2668514143
427	0.2667809703
428	0.2666561264
429	0.2665595373
430	0.2664159933
431	0.266320925
432	0.2662828231
433	0.2661999155
434	0.2659566542
435	0.2657979833
436	0.2657380343
437	0.2655987054
438	0.2655719323
439	0.2655360041
440	0.2654278827
441	0.2652744545
442	0.2650871082
443	0.2649304614
444	0.264841712
445	0.2648055693
446	0.2646488393
447	0.2645753741
448	0.264504959
449	0.2643579668
450	0.2642869015
451	0.2641625398
452	0.2640986271
453	0.2638937069
454	0.2638138743
455	0.2635689568
456	0.2634272748
457	0.263249625
458	0.2631688748
459	0.2630525643
460	0.2630059687
461	0.2628795835
462	0.2628106105
463	0.2627715126
464	0.2626531297
465	0.2625642325
466	0.262491958
467	0.2624516415
468	0.2623327354
469	0.2622539634
470	0.2621837696
471	0.2621115514
472	0.2620263807
473	0.2618506055
474	0.261742441
475	0.2616937885
476	0.2616204038
477	0.2615221136
478	0.2614809208
479	0.2614432958
480	0.2613866532
481	0.2613519385
482	0.2612194938
483	0.2611502693
484	0.2611315533
485	0.260999547
486	0.2608507371
487	0.260781742
488	0.260736056
489	0.2605807874
490	0.2605417499
491	0.2603334514
492	0.2602689729
493	0.2601189553
494	0.259963739
495	0.2597937761
496	0.2597472529
497	0.259722778
498	0.2596398143
499	0.2595553731
500	0.259520171
501	0.2594903472
502	0.2594050515
503	0.2593311271
504	0.2592590895
505	0.2591735263
506	0.2591492262
507	0.2590969738
508	0.2589993522
509	0.258955557
510	0.258919381
511	0.2588719674
512	0.2588519589
513	0.2588013146
514	0.2587282528
515	0.2586810483
516	0.2586551436
517	0.2584236563
518	0.2583458103
519	0.258290261
520	0.2582380063
521	0.2581706381
522	0.2581108298
523	0.2580112805
524	0.2579151429
525	0.25782025
526	0.2577781883
527	0.2576463893
528	0.2575918046
529	0.2575148074
530	0.2574580019
531	0.2573310086
532	0.2573037332
533	0.2572198767
534	0.2571709243
535	0.2571135485
536	0.2570104273
537	0.2569598899
538	0.2569328528
539	0.256858118
540	0.2568071532
541	0.2567038583
542	0.2566146865
543	0.2565866898
544	0.25655241
545	0.2565087407
546	0.2563749312
547	0.2563383803
548	0.2562901739
549	0.25621579
550	0.2561497985
551	0.2559903253
552	0.2558853794
553	0.2557136671
554	0.2555965466
555	0.2555119394
556	0.2554694083
557	0.2554203828
558	0.2553699042
559	0.2553471987
560	0.2552843752
561	0.2552231155
562	0.2551716975
563	0.2550148397
564	0.2548809451
565	0.2548380023
566	0.2547130188
567	0.2546426002
568	0.2545788432
569	0.2545127489
570	0.2544202967
571	0.2543875714
572	0.2543653656
573	0.2543186194
574	0.2542640039
575	0.2541481405
576	0.2541086373
577	0.2540746623
578	0.2540065237
579	0.2538752114
580	0.2537331473
581	0.2536979659
582	0.2535503506
583	0.253518131
584	0.2534814937
585	0.2532833977
586	0.2532525158
587	0.253205851
588	0.2530079833
589	0.2529826648
590	0.2529232817
591	0.2528927782
592	0.2528032395
593	0.2527673054
594	0.2527073819
595	0.2526464041
596	0.2526315962
597	0.2525821586
598	0.2525539708
599	0.2525052193
600	0.2524548834
601	0.2524094725
602	0.2523747111
603	0.2523285213
604	0.2523021777
605	0.2522365586
606	0.2521917376
607	0.2521783437
608	0.2521052309
609	0.2520854909
610	0.2519857915
611	0.2519641706
612	0.2517977495
613	0.2517172329
614	0.2516594725
615	0.2516310764
616	0.2515552781
617	0.2514720425
618	0.2514383986
619	0.2514175367
620	0.2512434414
621	0.2512268491
622	0.2511775174
623	0.2510595836
624	0.2510053373
625	0.2509688992
626	0.250942658
627	0.2508636708
628	0.250813566
629	0.2507911271
630	0.2507702059
631	0.2507310307
632	0.2506958783
633	0.2506591473
634	0.2506318744
635	0.2506076723
636	0.2505879519
637	0.2505273896
638	0.2504294517
639	0.250385047
640	0.2503255159
641	0.25025417
642	0.2501790416
643	0.250079753
644	0.2499914286
645	0.2499191048
646	0.24990606
647	0.2498817573
648	0.2498590239
649	0.249818587
650	0.2497659276
651	0.2497404138
652	0.2496832341
653	0.2496663913
654	0.2496444305
655	0.2495605861
656	0.2494905098
657	0.2494099895
658	0.2493836288
659	0.2492977637
660	0.2492080881
661	0.2491245635
662	0.2490941469
663	0.249066694
664	0.2490364962
665	0.2489923701
666	0.2489351973
667	0.2488815968
668	0.2488565656
669	0.248838875
670	0.2488085161
671	0.2487810295
672	0.248768805
673	0.2486513152
674	0.2485736935
675	0.2485171394
676	0.2484861406
677	0.2484734136
678	0.2483855415
679	0.2483622617
680	0.2483416093
681	0.2482742621
682	0.2482242111
683	0.2481961048
684	0.2481479674
685	0.2481246804
686	0.2481003697
687	0.2480943014
688	0.2480501809
689	0.2480112213
690	0.2479683904
691	0.247952287
692	0.2479296536
693	0.2479057402
694	0.2478196608
695	0.2477903866
696	0.2477653002
697	0.2477418686
698	0.2477065197
699	0.2476512582
700	0.2476323774
701	0.2474605541
702	0.2474348381
703	0.2474129131
704	0.2473830353
705	0.2473615501
706	0.2473123823
707	0.2472257471
708	0.2472055062
709	0.2470667637
710	0.2470050501
711	0.2469732968
712	0.2469324353
713	0.2469081782
714	0.2466916009
715	0.2466331613
716	0.2466065234
717	0.2465938071
718	0.2465787401
719	0.2465568594
720	0.24644368
721	0.2464162393
722	0.246389537
723	0.2463792253
724	0.2463648815
725	0.2463338128
726	0.2463171926
727	0.2462984993
728	0.2461303668
729	0.2461131788
730	0.2460765195
731	0.2460237275
732	0.2459991902
733	0.2459497002
734	0.2458758612
735	0.2458556137
736	0.2458222334
737	0.24579934
738	0.2456976471
739	0.2456780193
740	0.2456422577
741	0.245592865
742	0.2455680297
743	0.2455485781
744	0.2455317571
745	0.2455206007
746	0.2454878651
747	0.2454498842
748	0.2454278007
749	0.2453613467
750	0.2453457636
751	0.2453226248
752	0.2452396705
753	0.2451987141
754	0.2451482879
755	0.2451310784
756	0.2450953078
757	0.2450465756
758	0.2450102912
759	0.2449579496
760	0.2449490146
761	0.2449202519
762	0.2448670505
763	0.2448125658
764	0.2447865296
765	0.2447522637
766	0.2447172483
767	0.2446851057
768	0.2446630027
769	0.2446134502
770	0.2445368433
771	0.2444694977
772	0.2444520075
773	0.2444349795
774	0.2444162153
775	0.2443000828
776	0.2442803039
777	0.2442639212
778	0.2442216715
779	0.2442008764
780	0.2441857183
781	0.2441797477
782	0.244119319
783	0.2440709295
784	0.2440379826
785	0.2440147445
786	0.2439821161
787	0.243963314
788	0.2439473976
789	0.2438685594
790	0.243853789
791	0.2438341083
792	0.2437843047
793	0.2437546081
794	0.2437200415
795	0.2435325734
796	0.2435220815
797	0.2433421365
798	0.2432896983
799	0.243254694
800	0.2432027319
801	0.2431661549
802	0.2431429675
803	0.2431192889
804	0.2430617148
805	0.2430317647
806	0.2430081511
807	0.2429476477
808	0.2429361078
809	0.24280151
810	0.2427597679
811	0.242738911
812	0.2427179189
813	0.2425943911
814	0.2424984223
815	0.2424844111
816	0.2424669771
817	0.2424534151
818	0.2422538491
819	0.2422252271
820	0.2421825169
821	0.2421512506
822	0.2421014001
823	0.2420506656
824	0.2420183493
825	0.2419914394
826	0.2419613885
827	0.241937288
828	0.2419123375
829	0.2418897547
830	0.2417887374
831	0.2417695132
832	0.241748772
833	0.241724168
834	0.2416933793
835	0.2416558274
836	0.2416301131
837	0.2415558312
838	0.2415329286
839	0.2415143686
840	0.2414567604
841	0.2413158792
842	0.2412916044
843	0.2412769727
844	0.2412218287
845	0.2412082035
846	0.2411944098
847	0.2411716677
848	0.241159591
849	0.2411365063
850	0.2410604159
851	0.2410148871
852	0.2410035508
853	0.2409908358
854	0.2409106757
855	0.2408801843
856	0.240868757
857	0.2407788649
858	0.2407597678
859	0.2406623624
860	0.2406253223
861	0.2405602277
862	0.2405514339
863	0.2404970404
864	0.2404531319
865	0.2404287291
866	0.2404120361
867	0.2403777874
868	0.2402913655
869	0.2402633123
870	0.2402533546
871	0.2402329151
872	0.2402116734
873	0.240181757
874	0.2401722994
875	0.2401563621
876	0.2401329387
877	0.24011727
878	0.2400996245
879	0.240016103
880	0.2399953884
881	0.2399794994
882	0.2399441684
883	0.2399319467
884	0.2399119307
885	0.2398608803
886	0.2398137097
887	0.2398009123
888	0.2397589886
889	0.2397373426
890	0.2397094849
891	0.2396886444
892	0.2396503382
893	0.2395717956
894	0.2395409167
895	0.2395323628
896	0.2395205068
897	0.2395010046
898	0.2394795246
899	0.2394333606
900	0.2394151652
901	0.2393237562
902	0.2392987969
903	0.2392676823
904	0.2392342844
905	0.2392079296
906	0.2391940893
907	0.2391652843
908	0.2391545892
909	0.2391125364
910	0.2390851521
911	0.238952029
912	0.2389272877
913	0.2388938445
914	0.2387784855
915	0.2387380571
916	0.2387134824
917	0.2386737155
918	0.2386328021
919	0.2385929408
920	0.2385673175
921	0.2385210846
922	0.2385055114
923	0.2384801127
924	0.2384608725
925	0.2384372035
926	0.2383672202
927	0.2383492655
928	0.2382848105
929	0.2382738787
930	0.2381974242
931	0.2381851237
932	0.2381765339
933	0.2381546914
934	0.2381274236
935	0.2380179726
936	0.2380011901
937	0.2379793406
938	0.2379685262
939	0.2379522398
940	0.2379328268
941	0.2377456396
942	0.2377131557
943	0.2376429517
944	0.2376063968
945	0.2375839865
946	0.2375625275
947	0.2375480967
948	0.2375299049
949	0.2375074101
950	0.2374302454
951	0.2373850709
952	0.2373654263
953	0.2372722563
954	0.2372596602
955	0.2372430506
956	0.2372186252
957	0.2372061026
958	0.2371017493
959	0.236909544
960	0.2368874014
961	0.2368184755
962	0.2367960634
963	0.236782201
964	0.2367676963
965	0.2366225278
966	0.2366075792
967	0.2365850382
968	0.2365664117
969	0.2365398164
970	0.2363786454
971	0.2363680073
972	0.2363515894
973	0.2363239796
974	0.2363028721
975	0.2362654372
976	0.2362146538
977	0.2361954573
978	0.2361755696
979	0.2361204716
980	0.2360974751
981	0.2360766933
982	0.2360457228
983	0.2360252942
984	0.2360012542
985	0.2359572944
986	0.2358299945
987	0.2358096669
988	0.2357925585
989	0.2357667892
990	0.2357426141
991	0.2356602715
992	0.2356396584
993	0.2356251587
994	0.235608024
995	0.2355619594
996	0.2355502349
997	0.2355409943
998	0.2355065051
999	0.2354797157
1000	0.2354609733
1001	0.2354405386
1002	0.2353350357
1003	0.2353247364
1004	0.2353052042
1005	0.2352831272
1006	0.2352682455
1007	0.2352436761
1008	0.2352137163
1009	0.2351804402
1010	0.2351541058
1011	0.2351278489
1012	0.2351224135
1013	0.2351018295
1014	0.2350839276
1015	0.2350747026
1016	0.2350607441
1017	0.235048857
1018	0.2350296568
1019	0.2348992182
1020	0.2348300663
1021	0.2348152029
1022	0.2347905167
1023	0.2347740891
1024	0.2347606609
1025	0.2347198728
1026	0.2346790007
1027	0.2346625468
1028	0.2346200822
1029	0.2345604408
1030	0.2345370839
1031	0.2345154938
1032	0.2344770149
1033	0.2344666574
1034	0.2344305868
1035	0.2343947119
1036	0.234377789
1037	0.234354746
1038	0.2343329432
1039	0.2343057283
1040	0.2342844047
1041	0.2342572031
1042	0.2342387135
1043	0.2341438248
1044	0.2341305278
1045	0.2341128647
1046	0.2340916673
1047	0.2340657839
1048	0.2340407772
1049	0.234021834
1050	0.2340054186
1051	0.2339876123
1052	0.2339657609
1053	0.2339049397
1054	0.2338933978
1055	0.2338536158
1056	0.2337554883
1057	0.2337327858
1058	0.2337121178
1059	0.2336872793
1060	0.2336692039
1061	0.2336502413
1062	0.2335750608
1063	0.2335677197
1064	0.2335550437
1065	0.233407702
1066	0.2333869566
1067	0.2333393564
1068	0.2333042287
1069	0.233206692
1070	0.2329905042
1071	0.2329563758
1072	0.2329465094
1073	0.2329262505
1074	0.2328365621
1075	0.2328174431
1076	0.2328033364
1077	0.2327738703
1078	0.2327422241
1079	0.2327252731
1080	0.2327161815
1081	0.232695489
1082	0.2326860555
1083	0.2326400332
1084	0.232620053
1085	0.232464105
1086	0.2324485687
1087	0.2324201747
1088	0.2324005542
1089	0.2323843931
1090	0.2323063751
1091	0.2322405613
1092	0.2322191239
1093	0.2321966921
1094	0.2321831063
1095	0.2321700286
1096	0.2321641508
1097	0.2321462479
1098	0.2320349859
1099	0.2320130756
1100	0.231993676
1101	0.2319374931
1102	0.2319220642
1103	0.2318932628
1104	0.2318751462
1105	0.2318631694
1106	0.2317311764
1107	0.2317005261
1108	0.2316321592
1109	0.2315073865
1110	0.2314683979
1111	0.2314427925
1112	0.2313969203
1113	0.231368648
1114	0.2313544442
1115	0.2313308296
1116	0.2312894107
1117	0.2312161328
1118	0.2312032064
1119	0.231176394
1120	0.2311576554
1121	0.231137946
1122	0.2311248751
1123	0.2311079727
1124	0.2310832515
1125	0.2309612904
1126	0.230940683
1127	0.230906091
1128	0.2308808095
1129	0.2308664798
1130	0.2308500668
1131	0.230832822
1132	0.230809013
1133	0.2307902517
1134	0.2307554772
1135	0.2306747212
1136	0.2306573495
1137	0.2306385597
1138	0.2305860653
1139	0.2305490113
1140	0.2305361319
1141	0.2305195599
1142	0.2305055422
1143	0.2304831694
1144	0.2304521043
1145	0.2304375522
1146	0.2304091661
1147	0.2303930679
1148	0.2303642036
1149	0.2303562076
1150	0.2303134793
1151	0.2302978428
1152	0.2302090277
1153	0.2301805114
1154	0.2301684367
1155	0.2301514398
1156	0.2301071189
1157	0.2300795906
1158	0.2299949832
1159	0.2299639188
1160	0.2299454607
1161	0.2299302093
1162	0.2298475639
1163	0.2298333187
1164	0.2298056544
1165	0.2297911735
1166	0.2296954394
1167	0.229679745
1168	0.2296509484
1169	0.2296334196
1170	0.2296246233
1171	0.2296029765
1172	0.2295301068
1173	0.229525146
1174	0.2295047373
1175	0.2294635675
1176	0.2294538997
1177	0.2293766926
1178	0.2293648653
1179	0.2293472166
1180	0.2293043762
1181	0.2292152533
1182	0.2292016083
1183	0.2291830665
1184	0.2291742375
1185	0.2291615837
1186	0.2290866664
1187	0.2290803307
1188	0.2290694357
1189	0.2290486854
1190	0.2290379229
1191	0.2289531474
1192	0.2289389349
1193	0.2289191498
1194	0.2289032526
1195	0.2288820778
1196	0.2288663748
1197	0.228858436
1198	0.2288352287
1199	0.2288083384
1200	0.2287478407
1201	0.2287172976
1202	0.2286705711
1203	0.2286475394
1204	0.2286286826
1205	0.2286159172
1206	0.2286002964
1207	0.2285663619
1208	0.2285516419
1209	0.2285382555
1210	0.2285165517
1211	0.2284651488
1212	0.2283888174
1213	0.2283702409
1214	0.2283562488
1215	0.2282765418
1216	0.2282576866
1217	0.2282504688
1218	0.2282354431
1219	0.2282174463
1220	0.2282020699
1221	0.2281420274
1222	0.2281245577
1223	0.2280540902
1224	0.2280340984
